2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\scissorsnare-lg.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting scissorsnare-lg.jpg
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\sb6.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting sb6.html
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\sb6-sm.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting sb6-sm.jpg
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\sb6-lg.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting sb6-lg.jpg
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\rabbitstick2.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting rabbitstick2.html
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\rabbitstick2-sm.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting rabbitstick2-sm.jpg
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\rabbitstick2-lg.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting rabbitstick2-lg.jpg
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\rabbitstick.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting rabbitstick.jpg
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\net.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting net.html
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\net-sm.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting net-sm.jpg
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\net-lg.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting net-lg.jpg
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\mural2.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting mural2.html
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\mural2-sm.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting mural2-sm.jpg
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\mural2-lg.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting mural2-lg.jpg
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\MB18-bifaces.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting MB18-bifaces.html
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\MB18-bifaces-sm.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting MB18-bifaces-sm.jpg
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\MB18-bifaces-lg.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting MB18-bifaces-lg.jpg
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\mankilledbison.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting mankilledbison.html
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\mankilledbison-sm.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting mankilledbison-sm.jpg
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\mankilledbison-lg.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting mankilledbison-lg.jpg
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\lubbock-m23-sm.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting lubbock-m23-sm.jpg
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\lubbock-m23-lg.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting lubbock-m23-lg.jpg
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\fishhook.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting fishhook.html
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\fishhook-sm.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting fishhook-sm.jpg
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\fishhook-lg.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting fishhook-lg.jpg
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\drdwatlatl.gif --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting drdwatlatl.gif
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\cropppedspearpoints.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting cropppedspearpoints.html
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\croppedspearpoints-sm.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting croppedspearpoints-sm.jpg
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\croppedspearpoints-lg.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting croppedspearpoints-lg.jpg
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\bunts.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting bunts.html
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\bunts-sm.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting bunts-sm.jpg
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\bunts-lg.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting bunts-lg.jpg
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\bola.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting bola.html
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\bola-sm.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting bola-sm.jpg
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\bola-lg.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting bola-lg.jpg
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\beefjerking-sm.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting beefjerking-sm.jpg
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\beefjerking-lg.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting beefjerking-lg.jpg
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\atlatl-man.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting atlatl-man.html
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\atlatl-man-sm.gif --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting atlatl-man-sm.gif
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\atlatl-man-lg.gif --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting atlatl-man-lg.gif
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\arrows.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting arrows.jpg
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\lubbock-m23.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting lubbock-m23.html
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\beefjerking.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting beefjerking.html
2006.09.29 17:12 B L:\TBH Website Temp\kids\images\hunting\spearhead.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting spearhead.html
2006.09.29 17:12 B L:\TBH Website Temp\kids\images\hunting\Shaw_butcher2.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting Shaw_butcher2.html
2006.09.29 17:12 B L:\TBH Website Temp\kids\images\hunting\Shaw_butcher1-crop.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting Shaw_butcher1-crop.html
2006.09.29 17:12 B L:\TBH Website Temp\kids\images\hunting\shaw-arrow.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting shaw-arrow.html
2006.09.29 17:12 B L:\TBH Website Temp\kids\images\hunting\seminole-m4.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting seminole-m4.html
2006.09.29 17:12 B L:\TBH Website Temp\kids\images\hunting\scissorsnare.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting scissorsnare.html
2006.09.29 17:12 B L:\TBH Website Temp\kids\images\hunting\sb6.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting sb6.html
2006.09.29 17:12 B L:\TBH Website Temp\kids\images\hunting\rabbitstick2.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting rabbitstick2.html
2006.09.29 17:12 B L:\TBH Website Temp\kids\images\hunting\net.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting net.html
2006.09.29 17:12 B L:\TBH Website Temp\kids\images\hunting\mural2.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting mural2.html
2006.09.29 17:12 B L:\TBH Website Temp\kids\images\hunting\MB18-bifaces.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting MB18-bifaces.html
2006.09.29 17:12 B L:\TBH Website Temp\kids\images\hunting\mankilledbison.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting mankilledbison.html
2006.09.29 17:12 B L:\TBH Website Temp\kids\images\hunting\lubbock-m23.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting lubbock-m23.html
2006.09.29 17:12 B L:\TBH Website Temp\kids\images\hunting\fishhook.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting fishhook.html
2006.09.29 17:12 B L:\TBH Website Temp\kids\images\hunting\cropppedspearpoints.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting cropppedspearpoints.html
2006.09.29 17:12 B L:\TBH Website Temp\kids\images\hunting\bunts.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting bunts.html
2006.09.29 17:12 B L:\TBH Website Temp\kids\images\hunting\bola.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting bola.html
2006.09.29 17:12 B L:\TBH Website Temp\kids\images\hunting\beefjerking.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting beefjerking.html
2006.09.29 17:12 B L:\TBH Website Temp\kids\images\hunting\atlatl-man.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting atlatl-man.html
2006.09.29 17:12 B L:\TBH Website Temp\kids\images\hunting\Thumbs.db --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting Thumbs.db
2006.09.29 17:12 B L:\TBH Website Temp\kids\images\hunting\WS_FTP.LOG --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting WS_FTP.LOG
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\arrows.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting arrows.jpg
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\atlatl-man-lg.gif --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting atlatl-man-lg.gif
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\atlatl-man-sm.gif --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting atlatl-man-sm.gif
